,title,link
81,我们一起神翻译|10.18,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555886&idx=4&sn=9e4b9d00fd4e8a9e041e24da88e9efcb&chksm=f7ebcc63c09c4575ef89de47f75279ea1107632037722b6db66d0b8b21444f4c4b75f15b7a64#rd
82,每日一句|10.18,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555886&idx=5&sn=999382d6fbbe2832a10faf331bd3a393&chksm=f7ebcc63c09c4575ca5174835b8609bbf3ec7e9488f79765d75fd1788f3600b0918f45f4d0a6#rd
83,Gwen为你读诗——假如生活欺骗了你,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555822&idx=1&sn=9928d39c19efbe2d32f522f96d4299c7&chksm=f7ebcca3c09c45b5e33b461300b48e78b815acf0b8b055aa81f0ab6f98fdbf79953d2b885273#rd
84,10.17早读 | 我们注意力的状态决定了我们生活的状态,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555822&idx=2&sn=cadcdd0587e87d1656207b82cac121a6&chksm=f7ebcca3c09c45b59110a704e9d619580242a5403566c674acd50fa426b0ecc52a7fbc6eebb2#rd
85,每日听写飞鸟集|The Lake House06,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555822&idx=3&sn=d2ace8317906e3b74b21e72021864dd3&chksm=f7ebcca3c09c45b5f6ca67f197e62ed707754bd805149230dd30ab4526476ea0eff5f577409e#rd
86,听歌学英文| Love Is Gone,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555810&idx=1&sn=ae9202a5382f53fe872c52e3cf4d8a7d&chksm=f7ebccafc09c45b9d0f62d5b2720994a858faa4c73527904042f78f022f7dfc15dcd9557d580#rd
87,10.16早读 | 人在一瞬间决定自己的未来，但他们根本不知那一瞬间有多重要,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555810&idx=2&sn=a48470c24472a687ea7c9c235f060faa&chksm=f7ebccafc09c45b9b7a290f50e65abc2251d5ada9d97c626c4059442133d63985289a81c2772#rd
88,每日听写10.11-10.15高级汇总,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555810&idx=3&sn=aae471f3022d80cb4ce3b8ef974b1a22&chksm=f7ebccafc09c45b909d1a844c53259886f626ba022eb29fc54a273c63c915137de56e9109cee#rd
89,10.15早读 | 有才之士惺惺相惜，而平庸之辈会觉得他们威胁到了自己,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555788&idx=1&sn=902230208ac0af03dc3a32e64f5eae2e&chksm=f7ebcc81c09c4597a763c0c33d9bd9e603f90da6df494e04939ede670dbb49e50393f4940daa#rd
90,"""栽赃”、“陷害”用英语怎么说呢？",http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555788&idx=2&sn=fc0408cee5a0dc1ce7417b03d7dde994&chksm=f7ebcc81c09c45975e095144540f793134866caeed40110ee274036737f353cdd3f3740180dc#rd
91,每日听写|10.15,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555788&idx=3&sn=f856fc9bdc39d906e3d1f0a38e7f94c1&chksm=f7ebcc81c09c4597f2d978a61657aa7ad3baf8fa5d611238d73ae9550c7b2675d12a8b9c0050#rd
92,我们一起神翻译|10.15,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555788&idx=4&sn=06ce19d66c7ebf01c829b6aeb76a536d&chksm=f7ebcc81c09c45971865a82765565778d7e0eb3a695644f7b7957a2c1835da6f44f840007869#rd
93,每日一句|10.15,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555788&idx=5&sn=f3e0d1b3f5016f429a32bbf29f699f32&chksm=f7ebcc81c09c45976b9d27bc88574a85a97a61e891e8530cd04c6224a41e881aed1304dce8b8#rd
94,10.14早读 | 独在异乡为异客，每逢佳节倍思亲,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555767&idx=1&sn=a77580b88d9ffc1b5271aec0e18edce9&chksm=f7ebccfac09c45ec9d58f19fbe7a4e86b6e100a1ef06e52b3c60a09375416b23fbdf39b86abe#rd
95,"""有指望""用英文怎么说呢？",http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555767&idx=2&sn=449646ede8f21686b34b2d2207e06bc7&chksm=f7ebccfac09c45ec60a77499248f7f2f7f07203143d0244b18321b2feb91c4bfba0ffa4e3e18#rd
96,每日听写|10.14,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555767&idx=3&sn=69d5584ae286e802fc5a0ae810c40b57&chksm=f7ebccfac09c45ec36208dae8d722800b21e865b0900ed0f1222fb5e23a52016f1707462dc4f#rd
97,我们一起神翻译|10.14,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555767&idx=4&sn=b8523f0ea6b91d0fd7329e465a7af427&chksm=f7ebccfac09c45ecf06d15aa5ce4e5e8ccad45737c0df979e318b8c437283e9a68b5285728af#rd
98,每日一句|10.14,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555767&idx=5&sn=f0ebfdf277553e01897cec3ad1fa86f8&chksm=f7ebccfac09c45ec7bb9defae46369b1bf8d0c3671039a6326990ad47196ae324d7f3be6aef8#rd
99,10.13早读 | 不管你在生活中有多成功，从做对你来说最重要的事开始你的一天，总归是个好主意,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555740&idx=1&sn=4120c7d987e104dae308924a1fb49968&chksm=f7ebccd1c09c45c7498749ef8db0c61612b7b29972b8fce07c5725c0b44dd42c810755523ddf#rd
100,每日听写|10.13,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555740&idx=2&sn=f039bdc5d69b29ff94c6d8aef9e77449&chksm=f7ebccd1c09c45c7ec1bcc91750d185e94230d784a3a8076a0720523d3267cab8829ab143ef4#rd
101,我们一起神翻译|10.13,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555740&idx=3&sn=60f96a25d24d25efcab93bafcca4fe36&chksm=f7ebccd1c09c45c7da06df5337b986232e6382fee8ae4d9d8a87c694defd0dd14d4b0522f6f8#rd
102,每日一句|10.13,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555740&idx=4&sn=9ef521cdb092ad9e61e7da4ff8941e9b&chksm=f7ebccd1c09c45c77352a75f2bafaaf222024f50b0928023dff26392036d7766ac61feda660a#rd
103,10.12早读 | 现在不是做出改变的时候，放松点吧，别紧张,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555726&idx=1&sn=f933ba713f30530f9ed1300bed1d3386&chksm=f7ebccc3c09c45d5918d39c8b174e2f30d220bd3f54e9c8e55cf192d7ed11af2cf5a303db116#rd
104,"表达""成功""你还只会用“success”吗？",http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555726&idx=2&sn=f46d61e07d4258d139fed38909b5de81&chksm=f7ebccc3c09c45d5976c02cac4df56d87ca5cdba47d358604f27b8f320b597b51fc7510d67c9#rd
105,每日听写|10.12,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555726&idx=3&sn=2ea7a9dafd80ec48a8b84df83cff0f59&chksm=f7ebccc3c09c45d54d6e36c55abbccb16c41f862243785cb24271dcc44cb0e70656f5df277ca#rd
106,我们一起神翻译|10.12,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555726&idx=4&sn=c47f700b06f42799ff0b469c350de0b9&chksm=f7ebccc3c09c45d5e09dd5835f807092fcea85d85b2d479aac1982a0070b3557c08a46b6c22d#rd
107,每日一句|10.12,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555726&idx=5&sn=9e2dbbf75769ddbb911a5f7100ae354e&chksm=f7ebccc3c09c45d55c918c6983f11e3fd464075923b94a3ed1e5787c774210eeac804c02dbe5#rd
108,10.11早读 | “分心”不是“专注”的敌人，分心是因为我们的大脑被过度刺激了,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555690&idx=1&sn=e2c54f79b88f27a3ef978beb29946508&chksm=f7ebcb27c09c423163c9d478900275e2063d0f12f68f57415636761d4449b5a01ff7fc7ec94a#rd
109,【老外说】美国年轻人看什么电视剧？,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555690&idx=2&sn=847ee796b374549626d8056a8bc5490d&chksm=f7ebcb27c09c42315f4fa8c6e13c1b2f4d442f18471d96a992ae99d202384c49ed953d5e0999#rd
110,每日听写|10.11,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555690&idx=3&sn=4fd4a10abb153113e82906fac4c4a19f&chksm=f7ebcb27c09c42312a03a6156abecc50a43c171df38cb310fdde18ff543e27119d2538283db6#rd
111,我们一起神翻译|10.11,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555690&idx=4&sn=3ba82e041349e25808dce0e74b490dc0&chksm=f7ebcb27c09c4231dd026d0cd22a3c8ddaa5123d48ffb37b8f87f80fd9564f181713183d4f75#rd
112,每日一句|10.11,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555690&idx=5&sn=3fa98a33d324d88035d0f56fb80cddc9&chksm=f7ebcb27c09c4231336056d2b2cc0760f76931fa3f2074ce5f974a51d8ec5938bd6f254c9830#rd
113,为你读诗——New York is 3 hours ahead of California...,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555617&idx=1&sn=05db404a257c4b188a04dc2b6c371bf2&chksm=f7ebcb6cc09c427aa2344068b9f01abb00ec3f0faf5774166034cbca202fa66314e4166ae1a2#rd
114,10.10早读 | 良好的人际关系能让人更加快乐和健康，就是这样,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555617&idx=2&sn=fdde29360ed362cdcdb4b67133e84f7e&chksm=f7ebcb6cc09c427a1857c8486a5710b010188a29e7dc39a21fd3b39d36b9cc699c094d4a9667#rd
115,每日听写飞鸟集|The Lake House05,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555617&idx=3&sn=a72bde88ca1898eefbdb81c9be5ce641&chksm=f7ebcb6cc09c427ac260f69a850f5c607778b1c43e04c710bb7aa273f36419253a02f25fce28#rd
116,听歌学英文| Break My Heart Again,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555604&idx=1&sn=feba7b9670aab2e694ae5fc22e75c2b8&chksm=f7ebcb59c09c424fe9ea506b645126e059e36f6fee2115dd5e72077a0152cbba280fc9970d0f#rd
117,10.9早读 | 如果你害怕失败，你就不会走得很远,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555604&idx=2&sn=a7c830ae9c97ede2e5d5a27f10f0420f&chksm=f7ebcb59c09c424facee9bac495d251fdc3c0a78a2ee5a307430113f55939df1cc8f1aa932d0#rd
118,每日听写9.27-10.8中级汇总,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555604&idx=3&sn=8f21b2a15a5ac58d614f586c2b728adc&chksm=f7ebcb59c09c424f2ceb153d91f0ae397d9579948369e6cd4e20e37ea518f2251f70c3c437a4#rd
119,10.8早读 | 在人生的十字路口，选择走正确的道路太辛苦了,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555588&idx=1&sn=974e3b05418806243ee5f64223a2ca34&chksm=f7ebcb49c09c425fde1c4a1c6165fff2d320bca283758a0b2735ddca378ccb21ca98cf4f1490#rd
120,toast只跟面包有关系吗？,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555588&idx=2&sn=9f5703d440eb4ede307478dccaf295f0&chksm=f7ebcb49c09c425faa5cc8346764f6ab8c9b5dd01f101305b675fdd315ef92ab6053243ac8b3#rd
121,每日听写|10.8,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555588&idx=3&sn=b45d7c9c700856460883ea08f948f441&chksm=f7ebcb49c09c425f77235cd48eee12ce45e2a297f76eb77388c501a1f0cc7c996054c026fde8#rd
122,我们一起神翻译|10.8,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555588&idx=4&sn=fb5cea4d515c37f1aa854b059e2c4bfd&chksm=f7ebcb49c09c425f9a280c1d839f118cc0677e6230bc14b13eba7cea0d0d7942f182ac73aaa6#rd
123,每日一句|10.08,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555588&idx=5&sn=6d3036158c0f6847bb65827dd33d380d&chksm=f7ebcb49c09c425ffc6e78f0202d0adc77a6858b67e443e450e29cda2ac2da6830fcf0d4cddb#rd
124,【国庆特刊】精选回顾：工作篇| 努力工作加上一点好运，我迟早会成功！,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555511&idx=1&sn=3359998e57fc1d7cbcd746202e6bc2db&chksm=f7ebcbfac09c42ecd9f40de6cd0594de84ab30be806ed911f1c56ce5137e7a32f3194ee9e806#rd
125,【国庆特刊】精选回顾：学习篇| 普林斯顿大学校长：别再被“学历无用论”欺骗！,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555503&idx=1&sn=92213044d4785705683c8addf368d2e6&chksm=f7ebcbe2c09c42f42af341d8b2ecae009fdf88670a898f849b774839d32bcce42992695f6dbf#rd
126,【国庆特刊】精选回顾：音乐篇| 一杯敬明天，一杯敬过往,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555500&idx=1&sn=7149eecec29421a5394e28b752ae14fa&chksm=f7ebcbe1c09c42f708d337984cd798a54f1b1bdae41401567f38d8d0817f9aa78d765fd292c7#rd
127,【国庆特刊】精选回顾：爱情篇| 真正的爱并不是“我要得到什么”，而是“我能给予什么”,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555496&idx=1&sn=57bcb531ebf320505f1c2c0cb0cbc79d&chksm=f7ebcbe5c09c42f324a3378f9f12ce938f7e946a2fa7bf195373f09cf6b99920b06dbd4413c5#rd
128,【国庆特刊】精选回顾：朋友篇| 奥黛丽·赫本谈什么是友谊,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555492&idx=1&sn=a4fdf9ed050863f2b4cc0b2abf253e71&chksm=f7ebcbe9c09c42ff3f5eb29ef741f27e309426e144b3bfe58a02ee4ef219b4aa305fd9334311#rd
129,【国庆特刊】精选回顾：家庭篇| 爱，始于关心你最亲近的人——你的家人,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555488&idx=1&sn=3859a240c12e638a940d2a690380e646&chksm=f7ebcbedc09c42fb54896dcf82a1afa4ebdfe819d9e95a6813b6b67e356f21bd448b637a5b0c#rd
130,听歌学英文 New Chinatown,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555488&idx=2&sn=1325eb20db1ad5e859579a8a6a71a1f6&chksm=f7ebcbedc09c42fb4b8049d26a7611725933d0a002bfac5ab7dec6de0e1e7fedaf7173759bb5#rd
131,【国庆特刊】精选回顾：旅行篇| 我将卸下重负，轻装前行,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555468&idx=1&sn=c04d1729aa4c0da1a004997b4b7964d0&chksm=f7ebcbc1c09c42d718dc08a2e81b757809bf37d28cd7115ec6b258fb2ffc601980ec3a81c235#rd
132,9.30早读 | 生命中你唯一真正拥有的就是时间，如果用它来提升自我，你不可能失败,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555302&idx=1&sn=5ed4d1b9b8f7c4d788cb586906f3cbcd&chksm=f7ebcaabc09c43bdd2bbaff65b226039e331a6fec5cb1a78598ad3aec2ddfc24014d31e0e5ae#rd
133,“有趣的人”用英语怎么表达？,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555302&idx=2&sn=07fac450b7383920381c96e4ad82bee8&chksm=f7ebcaabc09c43bd617a0432e7cab72b4cb99cc26ca5d8bc5f776937c8e282cbdf54e481f4d0#rd
134,每日听写|9.30,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555302&idx=3&sn=7ebaa4ca03be494e1fb8511c2756276c&chksm=f7ebcaabc09c43bd55afa59f7f5f95e0e001401b156e6c23dd49b06a9c2602cc0865c4746c85#rd
135,我们一起神翻译|9.30,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555302&idx=4&sn=dc21dbd454e991e992592815b8350786&chksm=f7ebcaabc09c43bdd06fd722484d10d65cd36e9f0d9c6b710f6fb93c81c3e5040bfadbbd595e#rd
136,每日一句|9.30,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555302&idx=5&sn=a3bb01e49472044726ab5ecc4f1f84a8&chksm=f7ebcaabc09c43bd92245a1b34dd73d69eddcb0ef427acf403ba68c1ec83e00aaaeb58f990c9#rd
137,9.29早读 | 你长胖也好，变矮也罢，我都会深爱着你,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555272&idx=1&sn=10a021a900456fbc533b3cd3d43cce9f&chksm=f7ebca85c09c4393a593f3c3ffedc2a396daef213d6ecdedad9c7c6a8d8df3947d949f97a320#rd
138,每日听写|9.29,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555272&idx=2&sn=e466476658d0e65e015d4928b6035d40&chksm=f7ebca85c09c4393c024f95b329e6c7b11d4d7229b58c71a8e0c44fddac208e7d117dc8a7cd2#rd
139,我们一起神翻译|9.29,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555272&idx=3&sn=b82ff065de3d1b2d1081cafbff4dae21&chksm=f7ebca85c09c4393ba9b9bd72137f5be7bf5ad1a3f7bb9c46b25a18c988002230a6177233c94#rd
140,每日一句|9.29,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555272&idx=4&sn=c6c9762f8cb275b251d58f792aaba805&chksm=f7ebca85c09c4393e28da6baa83273960edb6cb8360a4e86d981bc3a9a1f791a574e4f735d0d#rd
141,9.28早读 | Better Now,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555250&idx=1&sn=b17be2008b709cb2da2f7c269105b7cc&chksm=f7ebcaffc09c43e95f3050f34cd8dcb3951073c810ffa4f0a2c1a9696da8cbca948c6597ed48#rd
142,“可怜你”用英语怎么说？,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555250&idx=2&sn=3ffe361f94cad466f20e65b88989d39f&chksm=f7ebcaffc09c43e9f7b5699ff5dd5beae1e87414bad1cc097fef32bc39868406778ed9e6190a#rd
143,每日听写|9.28,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555250&idx=3&sn=3df30ed638e5e8d422139734ff07c34b&chksm=f7ebcaffc09c43e9be36dbd5acb2593b22da52bd7094e69b34d862880813090c9767d309c8a9#rd
144,我们一起神翻译|9.28,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555250&idx=4&sn=4d1cf16f8e5fc124995f1e92d139908f&chksm=f7ebcaffc09c43e984dd9c07cdbf78fc3e5a1ccb7bbb45df860a3a57cf60e31498c7bcde0180#rd
145,每日一句|9.28,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555250&idx=5&sn=56488abbfe6ce25268e9dfdf94fa6182&chksm=f7ebcaffc09c43e92242be45641267f363040b9de77c5990f0b34f409b1d0b50f0f144e27c14#rd
146,9.27早读 | 别再刷手机了， 多和人交流交流！,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555212&idx=1&sn=8e896d546138b6a34b9f34f19aec2575&chksm=f7ebcac1c09c43d7e0bbf54c2787957cfe52ca3914f54a066db0f06c3e36d923f4b4a0de00ea#rd
147,【老外说】中秋节了，和老外聊聊月饼...和其他好吃的~,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555212&idx=2&sn=39cdea0292b32f71fda343a62e7743ba&chksm=f7ebcac1c09c43d77299aa52832b57c3d82917998ffbc3c362bc2353150e4b77dc687d1da411#rd
148,每日听写|9.27,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555212&idx=3&sn=dd11af90752637e42bc7b1330d580a1d&chksm=f7ebcac1c09c43d712f1f664b50293475bef6b0f2b511242a938f92a7416588f47d4570ea126#rd
149,我们一起神翻译|9.27,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555212&idx=4&sn=db27a9d8db8bf7baf37b522f6f1742bb&chksm=f7ebcac1c09c43d7d42d36c274e066d29e68d3b84c79a657c4f90b8a07a2b58510cd9f122f64#rd
150,每日一句|9.27,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555212&idx=5&sn=0197097d43388be85d5197dd308f6aaa&chksm=f7ebcac1c09c43d7f588ad15d7db3946fed7c7b751b489f8ae535df3cca1b338e0695522f976#rd
151,为你读诗——致孩子,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555129&idx=1&sn=e6c25b9b48fcb25c34a114cfdefac1a8&chksm=f7ebc974c09c4062cad9c9b7c0bbef7f926c6324123d6368bb8230ec3716e4a513f3a9c0e63b#rd
152,9.26早读 | 减少悲痛不是目的，在悲痛中成长并变得强大才是,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555129&idx=2&sn=709bddc26f5bb1e6d0f2845b7711b9c6&chksm=f7ebc974c09c4062e84741d0f010a535d8d46cd006974a834c3f091fb5fd5c0c7149ff1b35db#rd
153,每日听写飞鸟集|The Lake House04,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555129&idx=3&sn=7976bc06e14f3b62aa4ac2b79186941d&chksm=f7ebc974c09c4062c270abaa809246b6d4f4a178e6d5f00477eab2bd8f82e8f1eecb123b772d#rd
154,听歌学英文 | I Don't Gotta Know-欧阳娜娜 范丞丞,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555012&idx=1&sn=6639fbb88c434e1292dea16a650a40ba&chksm=f7ebc989c09c409f475e944fb7e3f1f97ceb667725642c38e1273a8d52606f9e74cc95f94497#rd
155,9.25早读 | 生孩子简单，养孩子难,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555012&idx=2&sn=f9459dd3b1c8580418ce2b6191e8cbc9&chksm=f7ebc989c09c409fe608f1e2fdce10421f72b642a38a8035e90cc9a2e35639b7486ba1128076#rd
156,每日听写9.20-9.24初级汇总,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653555012&idx=3&sn=f36e6d5d2417b0c687293a2a2961e501&chksm=f7ebc989c09c409f760c332812d731e7930eaf3de17b929bd0f5292b945526157b72b39cc05e#rd
157,9.24早读 | 凡人之爱不过是苦中作乐，功勋都是在寂寞中累积的,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554980&idx=1&sn=041de1e86b59bd9e012664a17a860bb5&chksm=f7ebc9e9c09c40ff56486c9a4c1da8c8697c9b0b9d041da1724c8eff8fcd7c6c6552222c0f3b#rd
158,“亲力亲为”用英语怎么说？,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554980&idx=2&sn=b6e491351ffb211026303746a264ff9f&chksm=f7ebc9e9c09c40ff6bfef9231967f6a7eb31e92122745b2ce7021538f48b45c548ff2c88a0a4#rd
159,每日听写|9.24,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554980&idx=3&sn=704ebdd456063aa8881565811da04539&chksm=f7ebc9e9c09c40ff6f4112dcf5f9f6e54bd9bf799537ba511da505cdf9969b3cb325f61f570c#rd
160,我们一起神翻译|9.24,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554980&idx=4&sn=fb3466d3ff4217441a76d1ea6d358413&chksm=f7ebc9e9c09c40ff634f6d3268342479aee5eebccbad0627da485639f9df8e0ddf36b39435fd#rd
161,每日一句|9.24,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554980&idx=5&sn=23d31b37d735a4388f55299a3b7f3d4b&chksm=f7ebc9e9c09c40ff770af7651edffa800c0f06b24a010d42d5b6153945ea99ac90b5f60aa32c#rd
162,9.23早读 | 别停下，别回头。你身后没有什么属于你的东西，值得期待的都在前方,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554955&idx=1&sn=541389b53745864c464f49e211f18b60&chksm=f7ebc9c6c09c40d05140f5ba94f12643b36e40145ed7f9ab314e4c76c7bd8bfcad42fd1f3e5b#rd
163,“欣然接受” 用英语怎么说？,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554955&idx=2&sn=bd989c7423c564cd0489274fbbdaa7f5&chksm=f7ebc9c6c09c40d009627da552dfb36030f0e3a917a98bf2287b650645d789199b2c9b540f7c#rd
164,每日听写|9.23,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554955&idx=3&sn=d7ceb4728bebec8237e3f1bead1841ea&chksm=f7ebc9c6c09c40d0a1e29ad9aba031a18352b00c6f0321a6b33171f7b83a03b7ddb1e8d5c746#rd
165,我们一起神翻译|9.23,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554955&idx=4&sn=3629c5792b77c5d7c40c8707affe3369&chksm=f7ebc9c6c09c40d0b544bcb4d19237d2cf6e6a6b6ee5beb43e853762eaab8f4788dea6dc8854#rd
166,每日一句|9.23,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554955&idx=5&sn=5f59275f3e5442949d09174bb07d811d&chksm=f7ebc9c6c09c40d0f61513a9a38f9782c89af188e5f8764cd6c28111c54c77c1a969cf112a48#rd
167,9.22早读 | AGA - Wonderful U,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554923&idx=1&sn=d1cc8522c176511d91b4dfea3357d050&chksm=f7ebc826c09c41300ddb9c9096699ba946c67eda0b4381a5424a0bbbb97a21d731a40bb5e23c#rd
168,每日听写|9.22,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554923&idx=2&sn=8f2ae6678989453da69ce5fc8017374f&chksm=f7ebc826c09c41307617de3f1f9a38356ff2d624811395d04f17e39daa249291521e446ee0b0#rd
169,我们一起神翻译|9.22,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554923&idx=3&sn=dc51dea1fcbbd90a8c8c9f1d77b3b118&chksm=f7ebc826c09c41306be8653415ddbf8fcc29844fd781d925fe04795904b5cc829275f3d07acb#rd
170,每日一句|9.22,http://mp.weixin.qq.com/s?__biz=MzI4OTAyODUxNA==&mid=2653554923&idx=4&sn=6b1a512e57ec51b5f6729dd04901a35a&chksm=f7ebc826c09c41306a8b9c31ccb868d83b39f5827a1a7d43a83d975b6b379b07f2d118c16053#rd
